Store Number,Address,City,State,Zip Code,Phone Number,Fax Number,Email Address,Store Hours,Services,Latitude,Longitude
US349,"6753 Thomasville Rd., #108",Tallahassee,FL,32312,(850-894-1476),850-894-1486,rjselva1@comcast.net, Monday-Friday8:30am - 6:30pm Saturday9am - 2pm Sundayclosed , Contact the store for information on available services. ,30.56196,-84.216653
US766,7327 Highway 231 N,Bayou George,FL,32404,(850-914-0075),850-914-0076,US766@pakmail.org, Monday-Friday9am - 5pm Saturday9am - 12pm SundayClosed , Contact the store for information on available services. ,30.270697,-85.526459
US576,7940 Front Beach Road,Panama City Beach,FL,32407,(850-234-7447),850-234-9336,US576@pakmail.org, Monday-Friday9:00am - 5:00pm Saturday10:00am - 2:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Local pick up and delivery service ",30.185982,-85.7721
US819,2529 Joan Ave.,Panama City Beach,FL,32408,(850-233-9050),850-233-9059,US819@pakmail.org, Monday-Friday8:30am - 5:30pm Saturday8:30am - 5:30pm Sunday8:30am - 5:30pm ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",30.144606,-85.751884
US701,19211 PCB Parkway,Panama City Beach,FL,32413,(850-249-6245),850-249-6251,US701@pakmail.org, Monday-Friday8am - 5:30am Saturday8am - Noon Sundayclosed , Custom crating and Packing ,30.242902,-85.918093
US447,4516 Hwy. 20 E.,Niceville,FL,32578,(850-897-9688),850-897-9690,US447@PakMail.org, Monday-Friday8:30am - 5:30pm Saturday9am - 1pm Sundayclosed ," Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",30.487597,-86.42199
US706,2575 S US Highway 17-92,Casselberry,FL,32707,((407) 265-2575),,us706@paKmail.org, Monday-Friday8:30am to 6:00pm Saturday10:00 to 3:00pm SundayClose ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",28.682719,-81.334132
US362,"18950 US Hwy 441, #D",Mt. Dora,FL,32757,(352-383-9250),352-383-6789,pakmailmountdora@embarkqmail.com, Monday-Friday9am - 6pm Saturday9am - 1pm Sundayclosed , Contact the store for information on available services. ,28.823955,-81.643019
US717,2435 Aloma Ave.,Oviedo,FL,32765,(407-366-2069),407-366-2810,oviedo@storeallamerican.com, Monday-Friday9am - 6pm Saturday10am - 4pm SundayClosed , Contact the store for information on available services. ,28.630413,-81.229168
US797,"1945 W. County Rd 419, Suite 1141",Oviedo,FL,32766,(321-244-1834),407-366-1833,ship@pakmailoviedo.com, Monday-Friday8:45am - 6pm Saturday10am - 2pm SundaySory we are closed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public Local pick up and delivery service ",28.65188,-81.1577
US798,2212 S. Chickasaw Trail,Orlando,FL,32825,(407-381-0084),407-381-0085,US798@pakmail.org, Monday-Friday9:00 am - 6:30 pm Saturday9:00 am - 2:00 pm Sunday , Contact the store for information on available services. ,28.5105,-81.269159
US702,8501 Astronaut Blvd. #5,Cape Canaveral,FL,32920,(321-799-9905),321-799-9956,pakmail702@bellsouth.net, Monday-Friday9am - 5:30pm Saturday10am - 3pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",28.392678,-80.609809
US265,"505 Beachland Blvd., #1",Vero Beach,FL,32963,(772-231-0021),772-231-0016,US265@pakmail.org, Monday-Friday9:00am- 5:30pm Saturday10:00am - 2:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Local pick up and delivery service ",27.653387,-80.364395
US078,2120 58th Ave.,Vero Beach,FL,32966,(772-562-0406),772-778-0302,US078@PakMail.org, Monday-Friday8:30am - 5:30pm Saturday10am - 3pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",27.640183,-80.44655
US235,10211 Pines Blvd.,Pembroke Pines,FL,33026,(954-436-3322),954-436-3090,US235@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",26.008239,-80.281654
US588,2114 N. Flamingo Road,Pembroke Pines,FL,33028,(954-667-6671),954-667-6668,pakmail588@gmail.com, Monday-Friday9:00am - 6:00pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,26.027459,-80.313084
US247,18331 Pines Blvd.,Pembroke Pines,FL,33029,(954-450-9555),954-450-9563,pakmailpines@yahoo.com, Monday-Friday9:00am - 6:30pm Saturday10:00am - 2:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",26.007672,-80.396098
US553,24 Dockside Lane,Ocean Reef,FL,33037,(305-367-3096),305-367-9012,US553@pakmail.org, Monday-Friday8:30am - 5pm Saturday9am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",25.308727,-80.277275
US718,1200 Fourth Street,Key West,FL,33040,(305-295-1491),305-295-1492,US718@pakmail.org, Monday-Friday8am - 6pm Saturday9am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service Specializing in nationwide auto shipping! ",24.560021,-81.78007
US295,934 N. University Dr.,Coral Springs,FL,33071,(954-340-2881),954-340-2883,US295@pakmail.org, Monday-Friday9:30 am - 6:00 pm Saturday10:00 am - 3:00 pm Sunday , Contact the store for information on available services. ,26.243277,-80.253844
US467,5379 Lyons Road,Coconut Creek,FL,33073,(954-582-0788),954-582-0465,US467@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 1:30pm Sundayclosed , Custom crating and Packing ,26.29216,-80.186538
US561,5944 Coral Ridge Drive,Coral Springs,FL,33076,(954-757-7175),954-757-7163,US561@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm SundayClosed , Custom crating and Packing ,26.304374,-80.278873
US132,3876 SW 112th Ave.,Miami,FL,33165,(305-227-3335),305-227-8452,pakmail132@bellsouth.net, Monday-Friday9:00 am - 6:00 pm Saturday9:00 am - 1:00 pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",25.732621,-80.375736
US662,12080 SW 127th Ave. #B1,Miami,FL,33186,(305-969-2029),305-969-7257,cemeat@yahoo.com, Monday-Friday9am - 6:45pm Saturday9am - 1:45pm Sundayclosed , Contact the store for information on available services. ,25.653789,-80.399256
US810,"8901 SW 157th Ave., Unit 16",Miami,FL,33196,(305-382-3292),305-382-3294,pakmail810@bellsouth.net, Monday-Friday9am - 7:30pm Saturday9am - 3:30am Sundayclosed , Contact the store for information on available services. ,25.683354,-80.445912
US517,4737 N. Ocean Dr.,Fort Lauderdale,FL,33308,(954-942-3101),954-942-3319,US517@pakmail.org, Monday-Friday8:30am-6pm Saturday10am-4pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Packaging and moving supplies ",26.19838,-80.09636
US770,1914 Cordova Road #A109,Fort Lauderdale,FL,33316,(954-522-4550),954-522-4680,US770@pakmail.org, Monday-Friday9:00am - 7:00pm Saturday9:00am - 4:00pm Sundayclosed , Custom crating and Packing ,26.099073,-80.130715
US569,8255 W. Sunrise Blvd.,Plantation,FL,33322,(954-474-3414),954-474-3703,universedelivery888@gmail.com, Monday-Friday9am - 6pm Saturday10am - 2:30pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery ",26.148604,-80.260472
US337,1112 Weston Rd.,Weston,FL,33326,(954-389-8007),954-389-3242,US337@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Notary public Local pick up and delivery service ",26.105689,-80.36459
US710,4301 S. Flamingo Rd. #106,Davie,FL,33330,(954-452-2707),954-452-1179,mariasapika@hotmail.com, Monday-Friday9:00am - 6:30pm Saturday10:00am - 3:30pm Sundayclosed , Contact the store for information on available services. ,26.067558,-80.313729
US437,15751 Sheridan Street,Davie,FL,33331,(954-252-3426),954-252-3427,sheridanpakmail@bellsouth.net, Monday-Friday9am - 6pm Saturday9am - 3pm SundayClosed , Contact the store for information on available services. ,26.029446,-80.371609
US649,9910 Alternate A1A #702,Palm Beach Gardens,FL,33410,(561-626-4525),561-626-0377,pmail649@bellsouth.net, Monday-Friday9am - 5:30pm Saturday10am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",26.820025,-80.083754
US439,"13833 Wellington Trace Rd., #E4",Wellington,FL,33414,(561-795-2373),561-795-2294,pmail649@bellsouth.net, Monday-Friday9:00 am - 5:30 pm Saturday10:00 am - 2:00 pm Sunday , Contact the store for information on available services. ,26.66257,-80.26796
US352,6231 PGA Blvd. #104,Palm Beach Gardens,FL,33418,(561-624-8686),561-624-8688,irishmist69@comcast.net, Monday-Friday8am - 5:30pm Saturday10am - 2pm SundayClosed , Custom crating and Packing ,26.83914,-80.138997
US475,351 No. Congress Ave.,Boynton Beach,FL,33426,(561-374-5933),561-374-8650,US475@pakmail.org, Monday-Friday8:30am - 5:30pm Saturday8:30am - 2pm SundayClosed , Contact the store for information on available services. ,26.528184,-80.090597
US028,2234 N. Federal Hwy.,Boca Raton,FL,33431,(561-393-5064),561-393-5074,US028@pakmail.org, Monday-Friday9:00am - 6:00pm Saturday10:00am - 3:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Local pick up and delivery service ",26.370159,-80.076979
US143,9858 Glades Rd. #D3,Boca Raton,FL,33434,(561-852-1631),561-852-1652,us143@pakmail.org, Monday-Friday9:00am - 5:30pm Saturday10am - 4pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business printing and stationery Notary public Local pick up and delivery service ",26.36783,-80.199834
US761,3840 W. Hillsboro Blvd.,Deerfield Beach,FL,33442,((954) 428-6866),(954) 698-9877,wlone@pakmailfl.com, Monday-Friday9am - 5:30pm Saturday10am - 2pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",26.317451,-80.175658
US581,4095 State Road 7 #L,Lake Worth,FL,33449,(561-721-2414),561-721-2416,us581@pakmail.org, Monday-Friday9am - 5:30pm Saturday9am - 3pm Sundayclosed , Custom crating and Packing ,26.619253,-80.204884
US703,8927 Hypoluxo Rd. #A4,Lake Worth,FL,33467,(561-491-8800),561-491-8801,pakmail703@yahoo.com, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Contact the store for information on available services. ,26.567164,-80.189244
US820,6169 Jog Road C11-A,Lakeworth,FL,33467,(561-642-7106),561-642-7107,US820@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,26.588254,-80.148397
US401,2420 W. Brandon Blvd.,Brandon,FL,33511,(813-643-0405),813-643-0659,info@brandonpakmail.com, Monday-Friday9:30am - 6pm Saturday9:30am - 3pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",27.938989,-82.323206
US623,2505 Thonotosassa Road,Plant City,FL,33563,(813-764-9878),813-764-9888,US623@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 3pm Sundayclosed , Custom crating and Packing ,28.022407,-82.145632
US605,5373 Ehrlich Road #203,Tampa,FL,33625,(877-265-4987),813-864-3363,US605@gmail.com, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,28.083771,-82.543746
US367,19046 Bruce B. Downs Blvd. #B6,Tampa,FL,33647,(813-910-8044),813-910-9049,US367@pakmail.org, Monday-Friday8:30 am - 6:00 pm Saturday9:00 am - 3:00 pm Sunday , Contact the store for information on available services. ,28.148725,-82.353419
US322,"873 W. Bay Dr., #2823",Largo,FL,33770,(727-584-8801),727-585-0726,US322@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 4pm Sundayclosed , Custom crating and Packing ,27.916746,-82.79759
US223,10500 Ulmerton Rd. #726,Largo,FL,33771,(727-584-2992),727-581-2909,US223@pakmail.org, Monday-Friday8am - 6pm Saturday9am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",27.894562,-82.783866
US340,"15201 N. Cleveland Ave., #115",North Fort Myers,FL,33903,(239-656-2033),239-656-6733,US340@pakmail.org, Monday-Friday9am - 5:30pm Saturday9am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",26.685723,-81.903784
US326,1825 Tamiami Trail,Port Charlotte,FL,33948,(941-255-3502),941-255-3602,US326@pakmail.org, Monday-Friday8:30am - 5:30pm Saturday9am - 2pm Sundayclosed , Contact the store for information on available services. ,27.007047,-82.133903
US329,9853 Tamiami Trail N. Ste 104,Naples,FL,34108,(239-514-7000),239-566-9400,pakmail@centurylink.net, Monday-Friday9am - 5:30pm Saturday10am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",26.261101,-81.801908
US266,7282 55th Ave. E.,Bradenton,FL,34203,(941-751-2070),941-751-2646,US266@pakmail.org, Monday-Friday9am - 6pm Saturday9am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Mailbox rental Business printing and stationery Notary public ",27.441867,-82.463695
US330,2609 Forest Ridge Blvd.,Hernando,FL,34442,(352-746-1782),352-746-1191,US330@pakmail.org, Monday-Friday9am - 5:30pm Saturday9am - 1pm Sundayclosed , Custom crating and Packing ,28.906384,-82.444554
US343,"303 SE 17th St., #309",Ocala,FL,34471,(352-368-9779),352-368-6978,pakmail343@aol.com, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",29.171679,-82.134265
US625,19514 Cortez Blvd.,Brooksville,FL,34601,(352-797-9880),352-797-9085,chibear@myway.com, Monday-Friday9am - 6pm Saturday10am - 1pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",28.540056,-82.403232
US407,4377 Commercial Way,Spring Hill,FL,34606,(352-596-7414),352-596-8340,US407@pakmail.org, Monday-Friday9am - 6pm Saturday9am - 1pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public ",28.492682,-82.598141
US299,6252 Commercial Way,Weeki Wachee,FL,34613,(352-597-8365),352-597-8361,pkm299@gmail.com, Monday-Friday9am - 6pm Saturday9am - 3pm Sundayclosed , Contact the store for information on available services. ,28.520056,-82.570685
US824,2429 S. US 27,Clermont,FL,34711,(352-394-9993),352-394-9994,us824@pakmail.org, Monday-Friday9:30am - 6:30pm Saturday10am - 4pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",28.52625,-81.730886
US661,3275 S. John Young Parkway,Kissimmee,FL,34746,(407-932-2522),407-932-2557,US661@pakmail.org, Monday-Friday8:30am - 6pm Saturday9am - 3pm SundayClosed - extended hours for holiday seasons , Custom crating and Packing ,28.261266,-81.435214
US307,14900 E. Orange Lake Blvd.,Kissimmee,FL,34747,(407-238-9560),407-238-9097,pakmailca@earthlink.net, Monday-Friday9:30am - 5:30pm Saturday9:00am - 2:00pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",28.34818,-81.61291
US543,1740 St Lucie West Blvd,Port St Lucie,FL,34986,(772-871-9341),772-871-9342,US543@pakmail.org, Monday-Friday9am - 5:30pm Saturday9am - 3pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public Local pick up and delivery service ",27.271142,-80.299178
US738,1401 Doug Baker Blvd. #107,Birmingham,AL,35242,(205-980-8879),205-980-8346,us738@pakmail.org, Monday-Friday9 AM - 6 PM Saturday10 AM - 2 PM SundayCLOSED ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Notary public Local pick up and delivery service ",33.4088,-86.66496
US729,1207 E Forrest St. Suite D,Athens,AL,35613,(256-232-1725),256-232-1710,us729@pakmail.org, Monday-Friday9am - 6pm Saturdayclosed Sundayclosed , Contact the store for information on available services. ,34.796587,-86.952953
US597,1016 W. Poplar #106,Collierville,TN,38017,(901-853-8881),901-853-3188,US597@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2 pm Sundayclosed , Custom crating and Packing ,35.046235,-89.695354
US449,"1605 Germantown Pkwy., #111",Cordova,TN,38018,(901-737-6655),901-737-8636,US449@pakmail.org, Monday-Friday10am - 6pm Saturday SundayClosed , Contact the store for information on available services. ,35.172272,-89.793103
us676,1204 Houston Levee Road #105,Cordova,TN,38018,(901-754-7676),901-754-7779,US676@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm SundayClosed , Contact the store for information on available services. ,35.158804,-89.727496
US776,7062 Highway 64,Oakland,TN,38060,(901-465-4445),901-465-4432,US776@pakmail.org, Monday-Friday9:00am - 6:00pm Saturday9:00am - 12:00pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business printing and stationery Notary public ",35.22879,-89.51832
US442,1519 Union Ave.,Memphis,TN,38104,(901-276-0500),901-276-6200,US442@pakmail.org, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,35.136313,-90.010927
US074,6139 Poplar Ave,Memphis,TN,38119,(901-763-1002),901-763-1003,US074@pakmail.org, Monday-Friday8:30am - 6:00pm Saturday10am - 2:00pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",35.10133,-89.85827
US050,"2809 Kirby Parkway, Suite 116",Memphis,TN,38119,(901-362-1122),901-362-1142,weshipmemphis@bellsouth.net, Monday-Friday9am- 6pm Saturday10am - 3pm SundayClosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Fulfillment services Faxing, photocopying Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Business document finishing      collation, bindery, lamination Business printing and stationery Notary public Local pick up and delivery service ",35.07226,-89.84413
US504,7605 Highway 70 #107,Bartlett,TN,38133,(901-266-3607),901-266-3608,pakmail504@bellsouth.net, Monday-Friday10am - 6pm Saturday11am - 2pm SundayClosed , Contact the store for information on available services. ,35.229351,-89.808735
US648,7095 Hacks Cross Road,Olive Branch,MS,38654,(662-893-1300),662-893-1301,cs@pakmailolivebranch.com, Monday-Friday9am - 6pm Saturday10am - 2pm Sundayclosed , Custom crating and Packing ,34.963973,-89.795148
US720,1501 West Jackson Ste. 113,Oxford,MS,38655,(662-236-9075),662-236-9076,gregory@pakmailoxford.com, Monday-Friday9am - 6pm Saturday10am - 1pm Sundayclosed ," Custom crating and packing: any size, any weight Domestic and international shipping by air, ground, or ocean Freight and specialty shipping Wide selection of carriers      UPS, USPS, FedEx, YRC, ABF, DHL Shipping and receiving Packaging and moving supplies Internet quoting and tracking Mailbox rental Business and residential mail services      forwarding, receiving, sorting, metering, stamps Notary public ",34.366506,-89.516479
US607,665 South Pear Orchard Road #106,Ridgeland,MS,39157,(601-956-2927),601-956-2941,gasisk3@bellsouth.net, Monday-Friday9am - 6pm Saturday9am - 2pm Sundayclosed , Contact the store for information on available services. ,32.405821,-90.123532
